doi	Total trials pub2	Total numb participants pub2	Search date pub 2	Total trials pub3	Total numb participants pub3	Search date pub 3	Conclusion
10.1002/14651858.CD006986	1	10	10 May 2011	1	10	8 July 2014	0
10.1002/14651858.CD005137	8	1373	7 July 2008	11	1908	24 January 2012	0
10.1002/14651858.CD007223	15	4914	23 July 2012	20	6446	30 November 2012	0
10.1002/14651858.CD006982	5	375	1 May 2010	6	416	10 May 2013	0
10.1002/14651858.CD006625	21	5991	1 April 2007	35	7816	1 May 2010	0
10.1002/14651858.CD009103	26	12578	1 April 2013	42	30990	1 April 2017	0
10.1002/14651858.CD004476	89	20028	1 June 2013	88	19953	1 June 2013	1
10.1002/14651858.CD009530	1	170	28 November 2013	1	170	28 August 2015	0
10.1002/14651858.CD009622	5	3740	1 March 2012	5	3740	1 June 2014	0
10.1002/14651858.CD009197	1	303	7 April 2014	1	303	31 August 2017	0
10.1002/14651858.CD009199	23	2931	1 June 2013	24	3050	1 February 2015	0
10.1002/14651858.CD009586	1	10000	1 June 2012	1	10000	1 December 2015	0
10.1002/14651858.CD006921	4	174	1 July 2008	5	214	1 January 2012	0
10.1002/14651858.CD007097	1	63	7 December 2010	2	103	22 August 2016	0
10.1002/14651858.CD006922	33	14445	1 October 2008	40	18210	1 August 2012	0
10.1002/14651858.CD005225	3	386	1 October 2009	3	386	16 July 2012	0
10.1002/14651858.CD008986	5	1186	1 August 2011	10	3817	1 May 2015	0
10.1002/14651858.CD008980	10	42274	1 April 2013	13	67688	1 August 2017	0
10.1002/14651858.CD007007	9	111	3 July 2012	12	1847	17 February 2015	0
10.1002/14651858.CD005444	5	322	1 October 2006	6	535	1 February 2012	1
10.1002/14651858.CD000551	16	1659	1 January 2007	16	1691	1 January 2012	0
10.1002/14651858.CD006377	4	628	1 January 2009	4	628	1 January 2009	0
10.1002/14651858.CD007772	1	60	30 September 2010	2	183	30 September 2014	0
10.1002/14651858.CD006411	1	273	1 January 2007	2	305	1 January 2012	0
10.1002/14651858.CD007575	27	4022	28 May 2010	37	5165	27 April 2013	0
10.1002/14651858.CD003277	5	535	1 February 2009	10	1127	18 October 2012	0
10.1002/14651858.CD006650	8	1840	1 January 2007	9	1908	1 February 2010	0
10.1002/14651858.CD006086	12	3435	1 June 2008	23	6909	1 July 2011	0
10.1002/14651858.CD008482	2	32	15 April 2010	2	32	11 October 2012	0
10.1002/14651858.CD008005	2	179	7 May 2010	2	179	23 July 2012	0
10.1002/14651858.CD007845	3	350	1 November 2009	4	493	1 February 2012	0
10.1002/14651858.CD000067	8	467	1 May 2008	11	3731	30 June 2015	1
10.1002/14651858.CD005370	20	1958	1 November 2006	30	2412	27 August 2015	0
10.1002/14651858.CD006118	1	16	1 August 2012	1	16	23 March 2015	0
10.1002/14651858.CD000381	4	318	1 May 2007	7	603	1 June 2010	0
10.1002/14651858.CD004081	15	1471	1 June 2007	19	1962	1 February 2015	0
10.1002/14651858.CD007524	5	1324	1 October 2009	5	1324	1 October 2009	0
10.1002/14651858.CD006462	5	859	1 March 2011	7	1029	21 March 2014	0
10.1002/14651858.CD007467	2	301	1 April 2009	2	301	10 November 2012	0
10.1002/14651858.CD007471	20	7760	7 February 2012	38	10532	16 February 2017	1
10.1002/14651858.CD007468	1	5	23 November 2010	2	69	29 October 2012	0
10.1002/14651858.CD009279	1	200	8 June 2012	1	200	20 May 2015	0
10.1002/14651858.CD008306	1	45	28 June 2010	1	45	1 April 2014	0
10.1002/14651858.CD005431	26	2560	25 June 2010	27	2643	30 August 2013	0
10.1002/14651858.CD010008	3	83	2 November 2015	3	83	21 February 2017	0
10.1002/14651858.CD005436	30	11206	1 December 2010	32	11410	1 February 2012	0
10.1002/14651858.CD007941	4	1679	1 November 2010	5	1749	1 March 2017	1
10.1002/14651858.CD007595	21	12572	1 October 2011	22	12644	1 September 2014	0
10.1002/14651858.CD009099	4	511	4 January 2012	5	535	1 April 2013	0
10.1002/14651858.CD007598	9	635	1 August 2011	16	1036	1 March 2017	1
10.1002/14651858.CD009669	4	202	1 January 2013	13	3903	1 June 2017	1
10.1002/14651858.CD007218	1	55	1 July 2009	2	93	23 June 2014	1
10.1002/14651858.CD006955	6	910	1 November 2007	14	2058	2 February 2015	1
10.1002/14651858.CD009805	4	373	1 February 2012	5	1503	4 August 2015	0
10.1002/14651858.CD007791	1	29	17 December 2008	1	29	11 July 2011	0
10.1002/14651858.CD006965	1	1207	1 January 2010	1	1207	31 October 2012	0
10.1002/14651858.CD008231	6	1847	1 February 2011	6	1847	8 April 2013	0
10.1002/14651858.CD006842	37	1151	1 December 2010	38	1258	13 January 2014	0
10.1002/14651858.CD008238	19	5624	1 July 2010	19	5624	1 July 2010	1
10.1002/14651858.CD009327	4	25	1 September 2013	5	72	1 December 2016	0
10.1002/14651858.CD000144	13	5971	1 November 2014	13	5971	1 November 2014	0
10.1002/14651858.CD007033	7	5997	1 August 2011	7	5997	1 August 2011	0
10.1002/14651858.CD005595	21	16227	1 September 2007	27	16286	1 July 2011	1
10.1002/14651858.CD007641	4	229	1 March 2011	4	229	1 February 2014	0
10.1002/14651858.CD006749	2	188	1 August 2008	2	190	1 January 2014	0
10.1002/14651858.CD008059	3	303	25 August 2010	4	139	9 August 2013	0
10.1002/14651858.CD003860	2	2644	1 November 2006	4	7095	1 June 2009	1
10.1002/14651858.CD009290	5	373	30 June 2011	12	1058	4 August 2017	0
10.1002/14651858.CD007258	3	306	3 August 2012	3	306	4 March 2015	0
10.1002/14651858.CD007398	6	108	1 January 2010	7	769	1 October 2013	0
10.1002/14651858.CD007124	10	316	21 July 2011	10	316	5 September 2013	0
10.1002/14651858.CD003064	1	6	1 January 2013	1	50	1 September 2015	0
10.1002/14651858.CD007863	6	2105	1 April 2009	6	2105	9 July 2012	0
10.1002/14651858.CD009503	10	969	1 February 2012	11	1028	1 June 2014	1
10.1002/14651858.CD007890	2	2193	1 December 2011	2	2193	1 May 2014	0
10.1002/14651858.CD008349	19	552	1 March 2010	37	1022	1 November 2013	0
10.1002/14651858.CD010038	7	8030	1 September 2012	10	8381	1 August 2017	1
10.1002/14651858.CD005351	21	1156	1 April 2005	32	3005	20 April 2011	1
10.1002/14651858.CD007695	4	1293	1 January 2009	4	1293	1 January 2012	0
10.1002/14651858.CD007121	3	354	1 December 2008	3	354	29 January 2014	0
10.1002/14651858.CD005191	11	2441	1 June 2008	14	4041	1 April 2011	0
10.1002/14651858.CD009202	1	24	10 May 2012	1	24	26 March 2015	0
10.1002/14651858.CD008378	1	306	1 May 2013	2	326	1 June 2015	0
10.1002/14651858.CD004704	6	59543	1 March 2007	6	59543	1 February 2013	0
